Timestamp,User_Text,P_text_argmax,P_face_argmax,Face_Detected,Failure_Reasons,Active_Alpha,Text_Confidence,Face_Confidence,Fused_Confidence,P_text,P_face,P_fusion,Fused_Emotion,Dissonance_Flag,Dissonance_Severity,Latency_ms,Generated_Response
2026-04-21 20:28:33,i got my new car!,Neutral,,False,No Face Detected.,1.0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Neutral,False,0.0,1363.8410568237305,That makes sense. Tell me more.
2026-04-21 20:28:47,i got my new car!,Neutral,,False,No Face Detected.,1.0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Neutral,False,0.0,497.7452754974365,I hear you. Let me know if you need anything.
2026-04-21 20:29:05,i got my new car!,Neutral,,False,No Face Detected.,1.0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Neutral,False,0.0,501.8916130065918,Thanks for sharing that with me.
2026-04-21 20:29:08,i got my new car!,Neutral,,False,No Face Detected.,1.0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Neutral,False,0.0,98.31523895263672,I understand. Thanks for sharing.
2026-04-21 20:31:47,"I made a good dish today, i am happy",Neutral,,False,No Face Detected.,1.0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Neutral,False,0.0,832.5059413909912,That makes sense. Tell me more.
2026-04-21 20:51:54,I am very excited to play first match tomorrow,Neutral,Neutral,True,,0.5,,,,"[0.027795891886563142, 0.03330320223881522, 0.008855196998603551, 0.06232809513324127, 0.016185455737639003, 0.012643533078302403, 0.8388886249268354]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.013897945943281571, 0.01665160111940761, 0.004427598499301776, 0.031164047566620636, 0.008092727868819502, 0.0063217665391512015, 0.9194443124634177]",Neutral,False,0.0044229795277345,1625.1511573791504,Thanks for sharing that with me.
2026-04-21 20:52:50,I am very excited to play first match tomorrow!,Neutral,Happy,True,,0.5,,,,"[0.027795891886563142, 0.03330320223881522, 0.008855196998603551, 0.06232809513324127, 0.016185455737639003, 0.012643533078302403, 0.8388886249268354]","[0.002020369876585035, 0.0, 0.0077644281148746275, 0.9425001663450718, 0.011987540885161222, 0.001968901713250874, 0.03375859306505645]","[0.014908130881574088, 0.01665160111940761, 0.008309812556739089, 0.5024141307391565, 0.014086498311400113, 0.007306217395776638, 0.4363236089959459]",Happy,True,0.8900211660906782,658.0257415771484,I'm sensing some mixed feelings here. Everything okay?
2026-04-21 20:53:33,I lost my puppy!,Neutral,,False,No Face Detected.,1.0,,,,"[0.02828116168795993, 0.03375349968793039, 0.008856493555725117, 0.06119390991940924, 0.016187825574008052, 0.012596611470559635, 0.8391304981044077]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.02828116168795993, 0.03375349968793039, 0.008856493555725117, 0.06119390991940924, 0.016187825574008052, 0.012596611470559635, 0.8391304981044077]",Neutral,False,0.0,592.602014541626,I understand. I am here for you if you want to talk.
2026-04-21 20:53:43,I lost my puppy!,Neutral,Neutral,True,,0.5,,,,"[0.02828116168795993, 0.03375349968793039, 0.008856493555725117, 0.06119390991940924, 0.016187825574008052, 0.012596611470559635, 0.8391304981044077]","[0.0076953860249142705, 0.0, 0.09330318976162942, 0.0, 0.16853876596241268, 0.0026839213280995763, 0.7277787369229441]","[0.0179882738564371, 0.016876749843965196, 0.051079841658677266, 0.03059695495970462, 0.09236329576821037, 0.0076402663993296056, 0.7834546175136758]",Neutral,False,0.0315676731197664,489.58683013916016,I am listening. Take your time.
2026-04-21 20:57:42,I got my new iPhone today,Happy,Happy,True,,0.5,,,,"[0.030355759688466568, 0.03033792876223453, 0.010016210577697159, 0.5998768148093381, 0.029186518004109447, 0.008694674942510241, 0.29153209321564394]","[0.0, 0.0, 0.005803620513935976, 0.8977660484792838, 0.010352340044779428, 0.005724156233048176, 0.08035383472895269]","[0.015177879844233284, 0.015168964381117265, 0.007909915545816567, 0.7488214316443109, 0.019769429024444438, 0.007209415587779208, 0.18594296397229831]",Happy,False,0.0676228608996567,217.70930290222168,You should be proud of yourself!
